Action Units,Estimated Emotion (7 class),glasses,fringe,gender,Subject,Filename
13,4,0,0,0,19,EP02_01
13,4,0,0,0,19,EP06_01f
50,7,0,0,0,19,EP06_02f
50,1,0,0,0,19,EP08_02
33,7,0,0,0,19,EP11_01f
19,4,0,0,0,19,EP11_04f
32,2,0,0,0,19,EP13_01
22,7,0,0,0,19,EP15_03f
51,2,0,0,0,19,EP16_01
51,2,0,0,0,19,EP16_02
46,7,0,0,0,19,EP19_01
13,4,0,0,0,19,EP19_02
13,4,0,0,0,19,EP19_03
37,6,0,0,0,19,EP19_04
46,2,1,0,1,20,EP01_03
48,7,1,0,1,20,EP03_02
46,2,1,0,1,20,EP06_03
46,7,1,0,1,20,EP07_04
48,7,1,0,1,20,EP10_02
48,7,1,0,1,20,EP12_01
46,7,1,0,1,20,EP13_02
46,7,1,0,1,20,EP15_03f
46,7,1,0,1,20,EP16_01
48,7,1,0,1,20,EP16_04
46,7,1,0,1,20,EP18_03
46,7,0,0,1,21,EP01_07
17,3,0,0,1,21,EP05_02
39,3,1,0,1,22,EP01_12
39,3,1,0,1,22,EP13_08
34,1,1,0,0,23,EP02_01
15,2,1,0,0,23,EP03_14f
29,3,1,0,0,23,EP04_03f
23,3,1,0,0,23,EP05_24f
7,2,1,0,0,23,EP05_25f
46,7,1,0,0,23,EP07_01
7,2,1,0,0,23,EP12_02f
15,2,1,0,0,23,EP12_03
46,7,1,0,0,23,EP13_03
18,3,1,0,0,23,EP13_04
46,7,1,0,0,23,EP13_07f
46,7,1,0,0,23,EP17_01
2,2,1,1,0,24,EP01_08
5,2,1,1,0,24,EP02_02f
37,6,1,1,0,24,EP07_01
37,6,1,1,0,24,EP07_04f
46,7,1,1,0,24,EP08_02
46,7,1,1,0,24,EP10_01f
46,7,1,1,0,24,EP10_02
37,6,1,1,0,24,EP10_03
20,7,1,1,0,24,EP12_01
13,4,1,1,0,24,EP18_03
44,7,1,0,0,25,EP03_01
44,7,1,0,0,25,EP03_02
5,2,1,0,0,25,EP09_02
5,2,1,0,0,25,EP10_01
4,4,1,0,0,25,EP10_10
4,4,1,0,0,25,EP12_01
5,2,1,0,0,25,EP18_04f
22,1,1,0,1,26,EP03_10
48,7,1,0,1,26,EP07_28
48,7,1,0,1,26,EP07_37
21,7,1,0,1,26,EP08_04
5,2,1,0,1,26,EP09_04
46,2,1,0,1,26,EP09_09
33,7,1,0,1,26,EP13_01
22,1,1,0,1,26,EP13_02
49,2,1,0,1,26,EP13_11
24,6,1,0,1,26,EP15_01
46,2,1,0,1,26,EP16_01
46,2,1,0,1,26,EP18_44
18,7,1,0,1,26,EP18_46
46,2,1,0,1,26,EP18_47
46,2,1,0,1,26,EP18_49
46,2,1,0,1,26,EP18_50
46,2,1,0,1,26,EP18_51
