Action Unit,Emotion,age,gender,ethnicity,glasses,fringe,Predicted Emotion
40,2,33.34,1,3,0,0,2
21,0,32.97,1,3,0,0,2
16,1,31.55,1,3,0,0,1
21,0,30.08,1,3,0,0,2
58,2,31.71,1,3,0,0,2
58,2,30.28,1,3,0,0,2
21,0,27.04,1,3,0,0,2
21,0,30.77,1,3,0,0,2
58,2,30.04,1,3,0,0,0
58,2,28.22,1,3,0,0,0
58,2,30.13,1,3,0,0,2
40,2,28.65,1,3,0,0,2
21,0,30.95,1,3,0,0,2
21,0,30.2,1,3,0,0,2
21,0,31.06,1,3,0,0,2
40,2,30.98,1,3,0,0,2
40,2,32.85,1,3,0,0,2
40,2,32.03,1,3,0,0,2
46,2,30.08,1,3,0,0,2
30,2,33.5,1,3,0,0,2
21,0,29.39,1,3,0,0,2
18,2,27.12,0,3,0,0,2
25,0,27.78,0,3,0,0,2
61,2,26.49,0,3,0,0,2
18,2,23.93,0,3,0,0,2
1,2,22.92,0,3,0,0,2
56,2,27.07,0,3,0,0,2
65,0,23.97,1,3,0,0,2
21,0,23.12,1,3,0,0,2
40,2,24.67,1,3,0,0,2
63,0,36.34,1,3,0,0,2
26,0,35.83,1,3,0,0,2
58,2,20.46,0,3,0,0,2
72,2,18.79,0,3,0,0,2
6,1,24.56,0,3,0,0,2
72,2,34.68,0,2,0,0,0
72,2,33.62,0,2,0,0,0
66,0,29.79,0,2,0,0,2
69,2,28.49,0,2,0,0,2
69,2,30.48,0,2,0,0,2
69,2,30.38,0,2,0,0,2
69,2,30.94,0,2,0,0,2
69,2,29.0,0,2,0,0,2
69,2,31.07,0,2,0,0,2
65,0,27.62,0,2,0,0,2
67,0,25.49,0,2,0,0,2
63,0,29.78,0,2,0,0,2
69,2,28.93,0,2,0,0,2
57,2,28.89,0,2,0,0,2
54,2,31.29,0,2,0,0,2
26,0,29.74,0,2,0,0,2
25,0,28.45,0,2,0,0,2
66,0,33.71,0,2,0,0,2
26,0,27.59,0,2,0,0,2
21,0,30.24,0,2,0,0,2
25,0,26.23,0,2,0,0,2
24,0,31.97,0,2,0,0,2
21,0,29.41,0,2,0,0,2
24,0,30.79,0,2,0,0,2
28,2,27.08,0,2,0,0,2
31,2,59.33,1,3,1,1,2
31,2,55.04,1,3,1,1,2
31,2,59.18,1,3,1,1,2
40,2,53.55,1,1,0,0,2
40,2,54.7,1,2,1,0,2
4,1,51.84,1,2,1,0,2
15,1,55.36,1,2,1,0,2
21,0,54.71,1,2,1,0,2
4,1,54.47,1,2,1,0,2
21,0,54.25,1,2,1,0,2
4,1,53.89,1,2,1,0,2
4,1,55.27,1,2,1,0,2
4,1,53.05,1,2,1,0,2
17,2,52.39,1,2,1,0,2
37,1,52.38,1,2,1,0,2
